Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH328_d7	7	21400	2.28e+007	350000	976000	1190000	158000	313000	33500	20900	27900	4720000.00	230000	698000	2000000.00	661000	107000	455000	224000	1.92e+007	357000	591000	9820000.00	2000000	41800	1010000	314000
TH328_d7	7	110000	5.43e+007	1110000	2970000	2570000	532000	929000	133000	71600	69000	1.15e+007	483000	1210000	5340000.00	842000	95600	1040000	317000	2.87e+007	563000	728000	1.59e+007	1930000	37300	1560000	367000
TH328_d7	7	26600	2.10e+007	168000	455000	594000	54300	160000	27000	13200	87300	4350000.00	285000	1340000	3060000.00	1200000	217000	449000	396000	1.05e+007	356000	547000	7370000.00	1360000	64200	564000	322000
TH328_d44	44	390000	1.39e+008	2820000	6080000	4700000	708000	1650000	202000	106000	100000	1.60e+007	517000	1720000	1.02e+007	1750000	131000	983000	325000	2.19e+007	352000	642000	1.30e+007	1230000	61900	1220000	392000
TH328_d44	44	591000	1.56e+008	2940000	7700000	4410000	1000000	1830000	228000	122000	125000	1.34e+007	483000	2280000	8530000.00	1370000	246000	1060000	402000	2.28e+007	370000	592000	1.50e+007	1410000	47000	1430000	354000
TH328_d44	44	58300	5.98e+007	875000	2050000	1040000	218000	377000	52500	45900	59600	4540000.00	201000	1450000	4460000.00	1400000	292000	446000	380000	9100000.00	215000	709000	7830000.00	1510000	93300	648000	407000
TH356_d10	10	135000	1.76e+007	267000	356000	204000	36600	79400	9740	9980	176000	5630000.00	305000	1160000	3060000.00	1450000	190000	685000	301000	9760000.00	434000	733000	6830000.00	3280000	95200	1140000	467000
TH356_d10	10	231000	3.69e+007	586000	723000	441000	86400	180000	24000	22100	139000	7540000.00	514000	1900000	5310000.00	2630000	202000	848000	437000	1.30e+007	566000	1070000	9930000.00	2860000	105000	992000	512000
TH356_d10	10	309000	5.41e+007	740000	1040000	393000	91100	150000	19400	22800	231000	6890000.00	470000	1730000	4820000.00	2060000	202000	658000	360000	1.21e+007	524000	1020000	9270000.00	2920000	80500	910000	484000
TH356_d10	10	219000	3.50e+007	461000	658000	240000	45900	82700	15500	24600	150000	6140000.00	376000	2050000	4850000.00	1990000	213000	663000	543000	9290000.00	477000	1080000	8900000.00	3270000	117000	797000	567000
TH359_d21	21	329000	6.58e+007	540000	2250000	900000	165000	289000	41400	56100	123000	8250000.00	412000	1980000	3990000.00	2400000	153000	796000	406000	1.40e+007	458000	1170000	1.05e+007	4140000	74500	1190000	699000
TH359_d21	21	177000	5.69e+007	485000	2140000	858000	165000	328000	53400	61100	527000	6510000.00	384000	1920000	3250000.00	2040000	117000	729000	340000	1.07e+007	363000	1090000	7020000.00	3850000	78800	964000	534000
TH359_d21	21	213000	6.51e+007	550000	2340000	1040000	278000	366000	91500	86500	320000	5340000.00	285000	1640000	3260000.00	2210000	124000	577000	537000	1.10e+007	406000	836000	6040000.00	3430000	134000	900000	581000
TH359_d21	21	153000	4.87e+007	341000	1500000	711000	194000	262000	48400	54000	153000	5200000.00	246000	1500000	3830000.00	2260000	249000	467000	531000	1.04e+007	395000	982000	6230000.00	3090000	187000	856000	676000
TH362_d4	4	150000	1.88e+007	193000	677000	621000	90300	248000	25400	20900	235000	1.06e+007	361000	1590000	5420000.00	2100000	86700	1060000	403000	1.40e+007	292000	717000	7840000.00	2500000	41300	1170000	486000
TH362_d4	4	147000	1.58e+007	229000	737000	792000	106000	339000	43700	26800	321000	9110000.00	416000	1700000	4900000.00	1370000	93600	911000	395000	1.52e+007	366000	822000	9530000.00	2810000	44200	1190000	487000
TH362_d4	4	150000	1.64e+007	251000	737000	682000	136000	285000	45000	31300	223000	7970000.00	261000	1120000	5120000.00	1200000	99600	739000	381000	1.36e+007	252000	651000	7850000.00	2300000	52200	1090000	414000
TH356_d100	99	374000	5.04e+007	865000	1540000	403000	153000	186000	24900	38800	133000	4970000.00	347000	1190000	2590000.00	1550000	122000	414000	362000	5870000.00	262000	602000	4410000.00	1960000	80200	515000	498000
"TH356_d100 WEIRD THYMUS*"	99*	344000*	5.96e+007*	1750000*	2200000*	414000*	238000*	200000*	33300*	53700*	47300*	6880000.00*	441000*	1770000*	3690000.00*	1550000*	203000*	594000*	472000*	1.24e+007*	437000*	1200000*	9580000.00*	3180000*	156000*	1020000*	808000*
TH356_d100	99	295000	5.21e+007	883000	1420000	264000	135000	136000	21600	36300	94100	6730000.00	407000	2030000	5270000.00	1750000	270000	502000	659000	1.33e+007	465000	1060000	1.03e+007	2850000	173000	864000	741000
"TH356_d100 no TAM ctrl"	0	397000	4.48e+007	770000	1180000	387000	116000	171000	18600	25300	225000	6960000.00	412000	1230000	3440000.00	1220000	134000	447000	264000	9920000.00	312000	611000	6260000.00	1820000	60100	585000	357000
TH362_d17	17	425000	5.99e+007	807000	1570000	548000	138000	294000	50200	36300	308000	7170000.00	518000	1840000	3840000.00	2800000	164000	667000	455000	1.06e+007	471000	905000	6900000.00	3370000	106000	880000	619000
TH362_d17	17	551000	6.41e+007	869000	1990000	459000	167000	184000	33000	37300	248000	8330000.00	491000	1880000	4340000.00	2110000	138000	782000	436000	9050000.00	312000	578000	5380000.00	2020000	100000	672000	451000
"TH362_d17 no TAM ctrl"	0	311000	4.24e+007	619000	1320000	581000	139000	229000	37300	37800	265000	8490000.00	474000	1420000	3810000.00	1670000	170000	659000	353000	1.14e+007	355000	821000	6510000.00	1970000	157000	773000	514000
TH362_d24	24	162000	4.53e+007	722000	1470000	630000	124000	247000	32100	38500	238000	9300000.00	793000	2850000	5840000.00	3680000	366000	867000	544000	9660000.00	381000	1070000	6900000.00	2160000	71400	654000	489000
TH362_d24	24	208000	5.06e+007	794000	1960000	727000	198000	273000	44200	65900	559000	1.02e+007	654000	2170000	5700000.00	2500000	122000	902000	485000	1.51e+007	476000	1330000	1.08e+007	2740000	86600	1150000	631000
"TH362_d24 no TAM"	0	243000	3.79e+007	524000	1230000	440000	120000	197000	19400	30700	115000	9670000.00	546000	1680000	5320000.00	2000000	154000	968000	489000	1.07e+007	295000	722000	7840000.00	1760000	52300	844000	505000
TH362_d38	38	261000	4.37e+007	574000	1780000	848000	232000	383000	42000	57700	259000	7000000.00	537000	2060000	4690000.00	2750000	206000	581000	510000	7720000.00	225000	620000	5760000.00	1920000	37100	587000	405000
TH362_d38	38	189000	4.89e+007	519000	1510000	800000	135000	253000	38500	46200	363000	8270000.00	591000	2100000	4040000.00	3150000	210000	640000	557000	1.20e+007	298000	895000	7010000.00	2970000	52900	783000	518000
"TH362_d38 no TAM"	0	308000	4.01e+007	340000	1290000	487000	150000	204000	18000	24800	87400	6720000.00	360000	1510000	5520000.00	1660000	177000	406000	458000	9610000.00	216000	983000	7390000.00	2250000	96900	575000	569000
TH362_d52	52	154000	3.22e+007	567000	1070000	748000	126000	337000	28900	37100	301000	1.47e+007	839000	3320000	9980000.00	2900000	150000	1160000	554000	1.57e+007	510000	936000	1.07e+007	2090000	109000	1040000	512000
TH362_d52	52	224000	4.20e+007	642000	1360000	812000	163000	337000	37300	55100	492000	3940000.00	409000	2260000	3310000.00	2750000	153000	480000	513000	1.08e+007	462000	977000	7170000.00	2400000	145000	766000	372000
"TH362_d52 no TAM"	0	638000	8.35e+007	979000	2290000	1080000	219000	456000	40300	61200	503000	7550000.00	517000	2730000	5220000.00	2360000	188000	637000	520000	6800000.00	289000	838000	5870000.00	2300000	103000	558000	536000
