Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH328_d7	7	100.00	87.06	50.01	29.22	22.50	3.74	27.54	9.57	7.50	33.30	2.08	41.64	18.58	3.58	10.42	22.19	8.36	9.33	1.65	35.93	18.67	2.96	8.80	20.60	7.41	12.67
TH328_d7	7	100.00	90.97	59.81	31.39	25.44	8.82	42.68	4.17	11.11	41.70	2.34	44.36	22.40	5.19	18.87	36.67	11.40	13.50	1.88	34.64	20.44	3.67	14.15	27.17	8.08	14.12
TH328_d7	7	99.19	87.10	49.63	30.07	20.46	5.32	36.25	7.80	8.87	32.17	2.51	41.10	22.24	5.37	8.67	31.19	7.89	8.02	2.28	30.20	18.58	4.15	6.96	25.16	6.94	12.44
TH328_d7	7	100.03	90.40	63.60	44.13	6.91	1.23	11.64	2.48	5.07	9.22	2.02	28.13	13.95	2.09	14.56	30.26	4.71	4.39	1.17	20.71	11.96	1.99	13.39	14.67	4.08	3.99
TH328_d44	44	97.25	88.09	45.04	25.55	15.92	2.51	20.48	5.66	8.26	29.69	2.89	32.25	14.90	3.46	10.01	18.56	5.10	5.37	1.62	27.26	14.83	2.36	7.88	25.05	4.17	7.05
TH328_d44	44	97.84	88.49	38.93	23.05	15.08	2.14	20.60	5.49	11.37	22.51	2.79	35.38	17.15	3.43	11.87	22.72	5.38	5.63	1.36	28.88	13.93	1.83	8.37	19.51	3.74	7.00
TH328_d44	44	93.08	86.49	46.29	25.14	8.59	2.67	14.01	5.22	9.48	10.80	5.32	32.65	15.51	5.09	10.04	26.97	8.16	9.03	0.98	23.70	11.66	1.35	5.24	14.82	3.67	5.46
TH356_d10	10	99.72	78.40	43.14	14.46	11.30	2.49	19.32	6.89	3.85	3.65	1.46	32.72	13.75	2.16	12.42	19.02	5.44	5.10	0.90	29.25	17.11	1.34	8.92	25.38	5.46	8.30
TH356_d10	10	99.83	83.40	49.28	19.28	12.96	2.98	24.96	5.19	6.77	10.11	3.39	36.97	20.53	4.30	15.81	25.26	9.37	8.94	1.39	30.06	20.47	1.84	11.03	20.22	7.65	9.72
TH356_d10	10	99.79	83.40	50.10	19.93	15.61	1.58	21.45	10.56	5.29	6.99	2.89	36.63	20.25	3.07	13.61	23.42	8.22	5.39	1.38	32.43	18.55	1.45	9.94	17.13	6.37	8.21
TH356_d10	10	99.91	82.00	46.19	18.18	11.21	1.55	11.85	5.10	5.49	4.00	2.73	33.52	15.90	3.29	12.01	25.12	7.22	4.71	1.14	29.94	16.43	1.48	8.66	20.58	6.35	6.54
