"","Theta","mu","beta","lp","N","p","receptor"
"1","0.937744202371184","0.059591386425028","0.259184309910296","0.27938127064638","20879.5681370871","0","CD4"
"2","0.965238969773835","0.0276901128079421","0.206830411244923","0.204037381138443","15913.2805085694","0","CD8"
