"","CD4.theta","CD4.mu","CD4.N","CD8.theta","CD8.mu","CD8.N"
"Fraction",0.768929795692874,0.0396761840270498,0.000971219034264031,0.933874847833545,0.03105832173563,0.00116191163094938
"Absolute",0.731448220092278,0.0376111924694565,20082.8363983084,0.919874284419814,0.0274258275598243,16524.5702844825
